id,text,HS,TR,AG,original_text
20028,"Upright, self-righteous? Net? For being against sexual harassment and rape at work?",0,0,0,"¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra del acoso sexual y la violación en el trabajo?"
20029,"If anything is rape or harassment, the violation and harassment are minimized. Therefore, the victims of the shit that are dedicated to raping and/or harassing lose.",0,0,0,"Si cualquier cosa es violación o acoso, se minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que se dedican a violar y/o acosar."
20030,"How funny that you consider that a girl for being with someone with a girlfriend is a bitch... if I remember correctly you had also messed with someone WITH a girlfriend, we must not do what we do not like to be done to us🙆🙆🙅",0,0,0,"Que divertido que consideres que una piba por estar con uno con novia es una zorra... si mal no recuerdo tambien te habias metido con uno CON novia, no hay que hacer lo que no nos gusta que nos hagan🙆🙆🙅"
20031,"I hate old people who think they deserve everything, son of a bitch, what you deserve is a grave.",0,0,0,"Odio los viejos que se creen que se merecen todo, hijo de puta tú lo que te mereces es una tumba."
20032,@elultimopeter You are too bitch 😂,1,1,1,@elultimopeter Tu eres demasiado perra 😂
20034,@Manu_Sainz @elchiringuito The papapapartido imimporta... shut up slurred!!! eat wooden cock,0,0,0,@Manu_Sainz @elchiringuito El papapapartido imimimporta... callate tartaja!!! Come polla de madeira
20035,@Setxuki @Daii__24 shut the fuck up fat almagro,0,0,0,@Setxuki @Daii__24 callate la puta boca gordo almagro
20036,"It is a great gift And a cock is a gift, here they have not given him anything. He has worked a lot, enough with the nonsense # OTGala8",0,0,0,"Es un gran regalo???? Y una polla un regalo, aquí no le han regalado nada. Se lo ha currado muchísimo, ya vale con las tonterías #OTGala8"
20037,I got a 9 in the biology final for you son of a bitch who didn't want to promote me for a few hundredths IN YOUR FACE AND ON YOUR FIELD,0,0,0,me saqué un 9 en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA
20038,@ValentinaaCruz Puteria and parakeet are also soul mates except that you are a whore from the womb.,1,1,1,@ValentinaaCruz Puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre.
20040,"@PatonGuzman you are a real shit, puto, shit among the shit, that's why the fucking Argentines, miserable sudakas, are hated, for scum like a poorly born mico sorete",1,0,1,"@PatonGuzman eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, se le aborrece, por escorias como mico sorete mal parido"
20041,I added a video to a @YouTube playlist https://t.co/lWXlQnkxyQ El Güero Bastidas - Enigma Norteño (2011),0,0,0,I added a video to a @YouTube playlist https://t.co/lWXlQnkxyQ El Güero Bastidas - Enigma Norteño (2011)
20042,@AgusMariano17 @astrobrix @saintlean that's how I tell your mom shut up bitch,1,1,1,@AgusMariano17 @astrobrix @saintlean asi le digo a tu mami callate perra
20043,@intonarumori13 Shut up and come fuck the fucking shite,0,0,0,@intonarumori13 Cállate y ven ya joder hostia puta
20044,"Two friends talking: -Raúl, what do you give me for my wife? -Nothing -Done deal.",1,1,0,"Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho."
20045,"@AngeAlvarez7 Shut up bitch, I'm awake again",1,1,1,"@AngeAlvarez7 Callate perra, re despierta estoy"
20048,#isdemexicanos who call you güero even if you are blacker than the night,0,0,0,#esdemexicanos que te digan güero aunque seas mas negro que la noche
20049,"Ah wow, now I can't criticize because I'm an immigrant? My God, why are there people like this? 😒😒 https://t.co/RAHMXDL7G1",0,0,0,"Ah vaina, ¿ahora no puedo criticar porque soy inmigrante? Dios mío ¿por que hay gente así? 😒😒 https://t.co/RAHMXDL7G1"
20050,Immigration ? invasion? Massive entry of Sub-Saharan IMMIGRANTS to CEUTA | Spain https://t.co/sUe4DoZLXB via @YouTub information passed sous silence by Belgian media #desinformation,0,0,0,Immigration ? Invasion ? Entrada masiva de INMIGRANTES subsaharianos a CEUTA | España https://t.co/sUe4DoZLXB via @YouTub information passée sous silence par les médias belges #desinformation
20051,From what you are writing and you wonder how quiet the dog is. You look back and you see this. https://t.co/LkdwUVHgaJ,0,0,0,De esto que estás escribiendo y te preguntas lo callada que está la perra. Miras hacia atrás y te encuentras esto. https://t.co/LkdwUVHgaJ
20052,In that list the Arabs and Chinese who have screwed us must be in second place. They come from their countries with one hand in front and one behind and get gigantic loans for their businesses and to mistreat the Venezuelan. Here in daisy that pod is seen a lot https://t.co/gHdYmtl68V,1,0,1,En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano. Acá en margarita se ve mucho esa vaina https://t.co/gHdYmtl68V
20053,"Dear, you are a whore without a filler... what do your children say about your new love? You continue to be her example 🤣🤣🤣",1,1,1,Querida tú eres una puta sin llenadero.. que dicen tus hijos de tu nuevo amor? Sigues siendo su ejemplo 🤣🤣🤣
20054,"Guyana will receive $30,000 from UNICEF to assist Venezuelan refugees - https://t.co/QAT9EZivVW https://t.co/8JM5ezcITq",0,0,0,Guyana recibirá $30 mil de Unicef para atender a refugiados venezolanos -  https://t.co/QAT9EZivVW https://t.co/8JM5ezcITq
20055,Like when you're very tight and they call you a blonde hahaha,0,0,0,Cómo cuando estás bien prietita y te dicen güera jajaja
20056,@Drodriguez Come you are the bitch bitch of bitches,1,1,1,@DrodriguezVen tu eres la perra mas perra de las perras
20057,Immigrants try to escape from Ceuta hiding on a ferry https://t.co/PzsYXikVuh via,0,0,0,Inmigrantes intentan fugarse de Ceuta escondidos en un ferry https://t.co/PzsYXikVuh vía
20058,"@Proctologo Damn son of a bitch... I don't know why he didn't go through a fucking latrine in his town and drown in shit, like he deserved.",0,0,0,"@Proctologo Maldito hijo de perra... no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda, como lo merecia."
20059,@MirandaLanda22 Shut up fucking bitch and celebrate Christmas son of a bitch,1,1,1,@MirandaLanda22 Ya callate pinche puta y celebra la navidad hija de perra
20060,Let's see who pays the bill and how they share the brown of leaving illegal immigrants loose in their cities (and that the voters do not make them pay within a year)... https://t.co/CehRdJsSdU,1,0,0,A ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes no de lo hagan pagar dentro de un año)... https://t.co/CehRdJsSdU
20061,"- Time doesn't exist. The space-time division is an invention of man, therefore... - Shut up, son of a bitch.",0,0,0,"- El tiempo no existe. La división espacio-temporal es una invención del hombre, por lo tanto,.. - Cállate, hijo(a) de puta."
20062,"@Laura99CM Now that you've disrespected me, I can finally tell you: Fuck off bitch!",1,1,1,@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!
20064,They send me this shit. Rape culture on its best screens. HUMAN WASTE. Can something be done @policia? https://t.co/vGmcVPSO7B,0,0,0,Me mandan esta mierda. Cultura de la violación en sus mejores pantallas. ESCORIA. Se puede hacer algo @policia ? https://t.co/vGmcVPSO7B
20065,@gliclazida @dotfanny @el_pais But the scenario you describe is not one of harassment. It's rape and murderers,0,0,0,@gliclazida @dotfanny @el_pais Pero el escenario que describe no es de acoso. Es de violación y asesinos
20066,"The Sectoral Conference on Immigration and Emigration is meeting in an hour for the first time since 2015. So far this year, 145 Algerian citizens have arrived by boat on the coasts of the region.",0,0,0,"La Conferencia Sectorial de Inmigración y Emigración se reúne dentro de una hora por primera vez desde 2015. En lo que va de año, han llegado en patera a las costas de la región 145 ciudadanos argelinos."
20067,"@PatricioMery @JorgeGlas Shut up Ivan the Fool, there is no proof!!! Where were you son of a bitch when people like bucaram, Lasso, baqueros, and opportunists ate Ecuador and divided it up, when there were no roads or hospitals, nor did I",0,0,0,"@PatricioMery @JorgeGlas Callate Ivan el Tonto, No hay pruebas !!! Donde estabas hijo de perra cuando gente como bucaram, Lasso , baqueros, y oportunistas se comieron al Ecuador y se repartian en pedazos, cuando no habia ni carreteras ni hospitales, ni me"
20068,"- Champions League Final - Libertadores and Sudaca - Tour, Twist and turn - Wimbledon - Super Bowl https://t.co/lUR7OjtsiV",0,0,0,"- Final Champions League - Libertadores y Sudaca - Tour, Giro y vuelta  - Wimbledon  - Super Bowl https://t.co/lUR7OjtsiV"
20069,@chechechacon You are a sentenced whore and you are shell-shocked in congress. You lied on your cv and just finished primary school. Don't play the holy fourth grade hypocrite,1,1,1,@chechechacon Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta
20070,"@NievesD36 @el_pais Do you distinguish between rape or workplace harassment? Or do you put everything in the same pack? When they reach out to you or propose to you at work, they don't put a knife to your neck. You choose if it is convenient or not and from that choice runs",0,0,0,@NievesD36 @el_pais ¿Distingues entre una violación o entre un acoso laboral? o lo metes todo en el mismo pack?. Cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello. Tú eliges si es conveniente o no y de esa elección corre
20071,@PrincipeVaron @_Brix__ @Re152005 @Barbijaputa @Yiyefly Damn you are so quiet 😂😂😂😂😂,0,0,0,@PrincipeVaron @_Brix__ @Re152005 @Barbijaputa @Yiyefly Coño que callados estáis 😂😂😂😂😂
20072,Can someone tell me where I can get a keyboard in Arabic?,0,0,0,alguien me puede avisar donde consigo un teclado en arabe-
20073,"Hahahahahahahahahahahahaha oh God the woman is evil I'm leaving here, what a fucking pavera.",1,0,1,"Jajajajajajjajajajajajajjaa ay Dios la mujer es maldad me voy de aqui, que puta pavera."
20074,@agaxiolag shut up bitch! Learn to speak and whiten your muzzle. #ExatlonMx,1,1,1,@agaxiolag cállate puta! Aprende a hablar y blanqueate el hocico. #ExatlonMx
20075,"Mercedes and Vodafone get involved in the controversy of the soccer player Özil about racism in Germany: ""I am German when we win, but an immigrant when we lose"" https://t.co/imSYwzFHeB via @eldiarioes",0,0,0,"Mercedes y Vodafone se lían en la polémica del futbolista Özil sobre el racismo en Alemania: “Soy alemán cuando ganamos, pero un inmigrante cuando perdemos” https://t.co/imSYwzFHeB vía @eldiarioes"
20076,"Calm down, don't pile up!!! fucking bean nacos pikense your ass 🖕🏽😑 https://t.co/tn7lEhUzsE",1,0,1,Calmados no se amontonen!!!pinches nacos frijoleros pikense el culo 🖕🏽😑 https://t.co/tn7lEhUzsE
20077,@fedevigevani When I meet you I'll stick gum in your face to see if you look good one day,0,0,0,@fedevigevani Cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien
20078,@elchiringuitotv @As_TomasRoncero #ChiringuitoKepa you are a roncero asshole!! Where is your fucking factory?,0,0,0,@elchiringuitotv @As_TomasRoncero #ChiringuitoKepa tu eres gilipollas roncero!! Donde está vuestra puta factoría?
20079,"How do you kill me when you move so slowly, I feel the whole run and the pressure of your pussy around my cock, you caress my chest, you feel my heavy breathing, I'm going to cum babe https://t.co/32P0qrpcPi",0,0,0,"Como me matas cuando te mueves así de lento, siento todo el recorrido y la presión de tu coño alrededor de mi polla, acaricias mi pecho, sientes mi respiración agitada, me voy a correr nena https://t.co/32P0qrpcPi"
20080,"The moronegrada is sinking the country based on being net collectors of pensions, terrorists, stealing, raping, trafficking, destroying the penitentiary, educational, judicial and health system... but what matters is 1 black man who claims to be an engineer #NosTomanPorImbéciles https https://t.co/2pR0YPtNCA",1,0,1,"La moronegrada está hundiendo el país a base d ser cobradores netos d pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo q importa es 1 negro q dice ser ingeniero  #NosTomanPorImbéciles  https://t.co/2pR0YPtNCA"
20081,-Because the statue of liberty is a woman? -Because an airhead was needed to make a gazebo,1,0,0,-¿Porque la esatua de la libertad es mujer? -Porque se nescesitaba una cabeza hueca para hacer un mirador
20082,Eat it XDDD and the face too!! 🤣🤣🤣🤣🤣 — Let's not go too far 👀 https://t.co/t3o5yHY0zb,1,1,1,Comemela XDDD y la cara también!! 🤣🤣🤣🤣🤣 — No nos pasemos 👀 https://t.co/t3o5yHY0zb
20083,@pauliboggino @soyunaforra shut up you fucking big ass bitch,1,1,1,@pauliboggino @soyunaforra cállate perra de mierda culona
20084,The worst thing is that later you read them and these deformed apes insinuate that the woman is evil and a bitch muahahahaha deep down I feel sorry for these beings,0,0,0,Lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres
20085,@_ArianaBelen Hahahaha shut up bitch.,1,1,1,@_ArianaBelen Jajajaja vos cállate puta.
20086,@PatricioMery @Pontifex_es Shut up silly son of a bitch human beast disgusting scourge leftist thieves badly born,0,0,0,@PatricioMery @Pontifex_es Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos
20087,"That, incompatible with being a shitty bitch, or a Muslim. https://t.co/AMyOfhQVQy",1,0,1,"Eso, incompatible con ser moromierda, o musulmono. https://t.co/AMyOfhQVQy"
20088,This güero scoring for my pick of +375. Long live Denmark fuck https://t.co/hHVyeWIGcO,0,0,0,Este güero anotando para mi pick de +375. Viva Dinamarca carajo https://t.co/hHVyeWIGcO
20089,"I don't understand this thing about showing your dick to anyone for real, I don't see the point in it",0,0,0,"no entiendo eso de enseñarle la polla a cualquiera de verdad, no le encuentro el sentido"
20090,They force me to swallow a dick and piss in my face 😮 https://t.co/8SHYnivgXa,0,0,0,Me obligan a tragar polla y me mean en la cara 😮 https://t.co/8SHYnivgXa
20091,@DarkGraphics_YT @IstEkoGFX @kanouraa THE MOST SATURATED THING IS SEEING MY COCK IN YOUR HOLE ASS😂😂😂,0,0,0,@DarkGraphics_YT @IstEkoGFX @kanouraa LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO😂😂😂
20092,"@Valeria_Martell @NopaIep Yes, I agree. It would not occur to any man that a woman is a whore for uploading semi-nude photos. Freedom and respect.",0,0,0,"@Valeria_Martell @NopaIep Si, estoy de acuerdo. A ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda. Libertad y respeto."
20093,"@Zabayar The worst of all is that you are partly to blame for the destruction of Venezuela, son of the great BITCH, and on top of that you are still a BAD CHAVISTA. Now there are no regrets, they are 18 years old carrying a PALO and having a rash and it is right now and",0,0,0,"@Zabayar Lo peor de todo es que tú eres parte de la culpa de la destrucción de Venezuela hijo de la grandísima PUTA, y encima sigues siendo chavista MALPARIDO. ahora no se valen arrepentimientos tienen 18 años llevando PALO y pasando roncha y es ahorita e"
20094,Tan 2018 goals I have gone to the kebap and they have spoken to me in Arabic. ✔ mission accomplished,0,0,0,Bronceado 2018 goals he ido al kebap y me han hablado en árabe.  ✔ misión cumplida
20095,"They took it out just the day after the documentary, excellent by the way, it uncovers the harsh reality of the immigrant and those of us who remain in Vzla.Madurocdtm https://t.co/btnl4GmV1V",0,0,0,"la sacaron justo a l dia siguiente del documental,por cierto excelente ,destapa la cruda realidad del inmigrante y de los q quedamos en Vzla.Madurocdtm https://t.co/btnl4GmV1V"
20096,"He justified the violence against the deputies saying that they were going to provoke, can you be such a son of a bitch Marcos Peña?",0,0,0,"Justificó la violencia a los diputados diciendo que ellos fueron a provocar, podes ser tan hijo de puta marcos peña?"
20097,@ash_london SHUT UP CRAZY BITCH MESSING WITH LOUIS IS ALREADY A LOT. YOU MESS WITH BARDERAS,1,1,1,@ash_london CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO . TE METES CON BARDERAS
20098,I do not discuss how to pull a tooth so shut up the fucking mother,0,0,0,Yo no te discuto como sacar una muela así que cállate la puta madre
20099,"Why was alcohol invented? so that the ugly, fat and canis lose their virginity.",1,0,0,"¿para que se inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad."
20100,"There are intelligent women, yes. They are men who have undergone sex change surgery. Not the other way around.",1,0,0,"Hay mujers inteligentes, si. Son hombres que se han operado de cambio de sexo. Al revés no."
20102,"and they call us Latinos sudacas, conquered, and uncivilized, what things, right? 👀 (not all) https://t.co/Ew6hpH5wIa",1,0,1,"y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no? 👀 (no todos) https://t.co/Ew6hpH5wIa"
20103,I'm going to dye my hair blonde so that Alfredo loves me,0,0,0,Me voy a pintar el pelo güero para que Alfredo me quiera
20104,Immigrants show their most violent face with fights in the middle of the street — The People of Ceuta https://t.co/Xd26df3yhL,1,0,0,Los inmigrantes muestran su cara más violenta con peleas en plena calle — El Pueblo de Ceuta https://t.co/Xd26df3yhL
20105,"Yesterday I was dying of a bitch infection in my throat and today it peeled me, I'm better now. 😎",0,0,0,"Ayer me estaba muriendo de una perra infección en la garganta y hoy me la peló, ya estoy mejor. 😎"
20106,"@fxbianna And you are the bitch friend who is going to blow me behind her back, stupid",1,1,1,"@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida"
20107,FUCK I SHIT ON THE BITCH THAT RAOUL STOLE HE DESERVED IT FUCK #OTGala8,0,0,0,JODER ME CAGO EN LA PUTA QUE ROBO RAOUL SE LO MERECÍA JODER #OTGala8
20108,"He has earned it hard, and has been very restrained. That Muslim or he thinks about it next time. Or give him a bigger one. https://t.co/1NTIxMR11P",1,0,1,"Se lo ha ganado a pulso, y ha sido muy comedido. Ese musulmono o se lo piensa la próxima vez. O le dan otra mayor. https://t.co/1NTIxMR11P"
20109,So you are the son of a bitch who is eating all the wildebeests... Come let's talk https://t.co/E7H7lsvFic,0,0,0,Así que tú eres el hijo de puta que se está comiendo todos los ñus... Vente que vamos a hablar https://t.co/E7H7lsvFic
20110,#Repost @analorenasm with get_repost ・・・ 🌊💃🏽 mezcal kisses for the Güero. Happy Friday! https://t.co/mNwsnjtSlZ,0,0,0,#Repost @analorenasm with get_repost ・・・ 🌊💃🏽 besos de mezcal pa’ el Güero. ¡feliz viernes! https://t.co/mNwsnjtSlZ
20112,"@vibrium_ HAHAHAHAHAHA Multitasking is what it is today: bitch on Instagram, emo on Twitter, ridiculous on Facebook and divas on WhatsApp, all at the same time and without mixing stories.",1,0,1,"@vibrium_ JAJAJAJAJAJA El multitasking es lo de hoy: Perra en Instagram, emo en Twitter, ridículas por Facebook y divas en WhatsApp, todo a la misma vez y sin mezclar historias."
20113,@MasterofCR @Exodial0 @GuidoNJ99 Shut the fuck up resentful and next time look for Vaseline because we don't want son,0,0,0,@MasterofCR @Exodial0 @GuidoNJ99 Callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo
20114,1. the nude has always been part of art 2. art is super relative 3. shut the fuck up https://t.co/5eN1K4Sntq,0,0,0,1. el desnudo siempre ha formado parte del arte 2. el arte es super relativo 3. callate la boca de una puta vez https://t.co/5eN1K4Sntq
20115,"If you mistreat an animal, you are a son of a bitch and you deserve to live in the worst way",0,0,0,Si maltratas a un animal sos un hijo de puta y te merecés vivir de la peor manera
20116,@20m Too bad.... shut up bitch!!!!!!!😠😠😠💩💩💩💩💩💩,1,1,1,@20m Lastima.... callate zorra!!!!!!!😠😠😠💩💩💩💩💩💩
20117,@lauty489 You deserved to be drowned son of a bitch but mildew,0,0,0,@lauty489 Merecias ser ahogado hijo de perra pero mildis
20118,Antonio Adán: My girlfriend is from Seville and she's just another whore | Sevilla 3 Real... https://t.co/Pk1TYziPU8 via @YouTube,1,1,1,Antonio Adán: Mi novia es sevillista y es una puta mas | Sevilla 3 Real ... https://t.co/Pk1TYziPU8 vía @YouTube
20119,"@anto07ro I always put up with you shut up, mña yes bitch",1,1,1,"@anto07ro Siempre te hago el aguante callate, mña si perra"
20120,"Administrative processes have to be quick for refugee immigrant minors, since the future of these minors is at stake. Tomorrow if they want to work, they will continue without those papers, the men will end up in irregular jobs and the women in prostitution.",0,0,0,"Los procesos administrativos tienen que ser rápidos para menores inmigrantes refugiades, ya que el futuro de eses menores está en juego. El día de mañana si quieren trabajar, seguirán sin esos papeles, los hombres terminarán en trabajos irregulares y las mujeres en prostitución."
20121,"Good morning, to work in the factory to pay the refugees and others... thank you Sánchez for being such a son of a bitch.",1,0,1,"Buenos dias, a trabajar en la fabrica para pagar a los refugiados y demas... gracias Sánchez por ser tan hijo de puta."
20122,"Mirna, for some feminists celebrating a woman's dress is harassment, be careful there #pautab @adnradiochile @mirnaschindler",0,0,0,"Mirna, para algunas feministas celebrarle un vestido a una mujer es acoso, ojo ahí #pautab @adnradiochile @mirnaschindler"
20123,"@alejitacoll ... there are many men against harassment; Of course, not all of us express it from a sexist prejudice. His answer will earn applause and likes from well-thinking 'but in certain passages he only represents the opposite end of Caballero's disastrous column.'",0,0,0,"@alejitacoll ... habemos muchos hombres en contra del acoso; eso sí, no todos lo expresamos desde el prejuicio sexista. Su respuesta se ganará aplausos y likes de los bienpensantes 'pero en ciertos pasajes no representa más que el extremo opuesto de la desastrosa columna de Caballero.'"
20125,-Woman: Kiss me once and I will belong to you forever? -Man: Oh my! Thanks for the warning!,1,0,0,-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!
20126,@mariajoarga @Paugalindo Oh shut up bitch.,1,1,1,@mariajoarga @Paugalindo Ay cállate perra.
20128,"Calling a woman a ""bad whore"" is called a ""satirical poem""... I feel real disgust hearing, reading and seeing this type of attack on @InesArrimadas daily in the pro-independence media. We need more than ever #nowasicambio @CiutadansCs https://t.co/2JXfZwPJWU",0,0,0,"Llamar “mala puta” a una mujer es denominado “poema satírico”... Siento verdadero asco, de oír, leer y ver este tipo de ataques a diario a @InesArrimadas en los medios pro_independentistas. Necesitamos más que nunca #ahorasicambio @CiutadansCs https://t.co/2JXfZwPJWU"
20129,"This shows that they are not ""refugees"" from countries at war, but economic, which is human, until you realize that if they start with lies, surely what they are looking for is to invade, not to coexist! https://t.co/U8WxI3hJGU",1,0,1,"Eso demuestra que no son “refugiados” de países en guerra, sino económicos, lo q es humano, hasta q te das cuenta q si empiezan con mentiras, seguramente lo q busca es invadir no convivir! https://t.co/U8WxI3hJGU"
20130,@Alechaschas 12 years playing Play taught him a lot. What a son of a bitch!!!!!!,0,0,0,@Alechaschas 12 años jugando a la Play le enseñaron bastante. Que hijo de remil puta!!!!!!
20131,"""We have already 3 isolated cases of immigrant violence in the Barcelona area in a week. After how many cases are they no longer considered ""isolated""?""",1,0,1,"""Llevamos ya 3 casos asilados de violencia de inmigrantes en la zona de Barcelona en una semana. ¿A partir de cuantos casos, dejan de considerarse """"aislados""""?"""
20132,"You move the thong to one side, you put my cock in your pussy and you slowly let yourself fall, putting it all in, what a pleasure it gives me to feel how your pussy squeezes throughout the entire journey, come down babe https://t.co/EAzApav28W",0,0,0,"Apartas el tanga a un lado, posas mi polla en tu coño y te dejas caer despacio metiéndola entera, que placer me da sentir como aprieta tu coño durante todo el recorrido, baja nena https://t.co/EAzApav28W"
20133,@YolandaNeed Shut up bitch I do what I want,1,1,1,@YolandaNeed Callate perra yo hago lo que quiero
